1000 4935
0 246 1
0 261 1
0 329 1
0 485 1
0 676 1
0 753 1
0 939 1
1 68 1
1 265 1
1 323 1
1 392 1
1 599 1
1 933 1
2 171 1
2 175 1
2 242 1
2 279 1
2 545 1
2 650 1
2 709 1
2 728 1
2 801 1
2 806 1
2 942 1
3 248 1
3 354 1
3 387 1
3 435 1
4 70 1
4 145 1
4 212 1
4 215 1
4 408 1
4 473 1
4 517 1
4 563 1
5 75 1
5 306 1
5 360 1
5 406 1
5 439 1
5 779 1
5 840 1
5 917 1
5 924 1
5 937 1
6 267 1
6 308 1
6 319 1
6 344 1
6 389 1
6 850 1
6 901 1
6 960 1
6 962 1
7 75 1
7 122 1
7 123 1
7 198 1
7 217 1
7 263 1
7 497 1
7 508 1
7 619 1
7 726 1
7 737 1
7 798 1
7 884 1
7 920 1
7 951 1
8 176 1
8 461 1
8 491 1
8 672 1
8 873 1
8 884 1
9 70 1
9 157 1
9 255 1
9 271 1
9 426 1
9 518 1
9 590 1
9 789 1
9 836 1
9 954 1
9 967 1
10 89 1
10 296 1
10 313 1
10 320 1
10 657 1
10 855 1
11 12 1
11 318 1
11 402 1
11 475 1
11 525 1
11 539 1
11 657 1
12 64 1
12 333 1
12 508 1
12 760 1
12 772 1
12 862 1
12 926 1
13 45 1
13 102 1
13 117 1
13 373 1
13 397 1
13 405 1
13 657 1
13 816 1
13 976 1
14 89 1
14 170 1
14 305 1
14 329 1
14 382 1
14 405 1
14 433 1
14 532 1
14 576 1
14 671 1
14 673 1
14 679 1
14 747 1
14 810 1
14 854 1
14 857 1
14 864 1
14 999 1
15 521 1
15 734 1
15 904 1
15 936 1
15 972 1
15 977 1
16 208 1
16 511 1
16 976 1
17 93 1
17 104 1
17 116 1
17 467 1
17 489 1
17 723 1
17 769 1
17 773 1
17 824 1
17 838 1
17 892 1
17 925 1
17 952 1
17 972 1
18 19 1
18 108 1
18 116 1
18 137 1
18 171 1
18 470 1
18 495 1
18 567 1
18 665 1
18 683 1
18 806 1
18 866 1
18 933 1
18 987 1
19 227 1
19 300 1
19 350 1
19 594 1
19 738 1
20 239 1
20 292 1
20 670 1
20 748 1
20 828 1
20 910 1
20 979 1
20 987 1
21 47 1
21 187 1
21 316 1
21 335 1
21 352 1
21 411 1
21 466 1
21 552 1
21 643 1
21 675 1
21 710 1
21 941 1
21 951 1
22 51 1
22 100 1
22 221 1
22 294 1
22 330 1
22 445 1
22 679 1
22 741 1
22 934 1
23 55 1
23 128 1
23 143 1
23 235 1
23 286 1
23 302 1
23 361 1
23 572 1
23 694 1
23 804 1
24 28 1
24 85 1
24 338 1
24 633 1
25 189 1
25 478 1
25 505 1
25 600 1
25 619 1
25 633 1
25 717 1
25 872 1
26 152 1
26 294 1
26 355 1
26 374 1
26 530 1
26 580 1
26 592 1
26 635 1
26 784 1
26 801 1
26 844 1
27 66 1
27 89 1
27 219 1
27 270 1
27 272 1
27 278 1
27 518 1
27 562 1
27 680 1
27 724 1
27 753 1
27 771 1
27 879 1
28 375 1
28 578 1
