1000 5029
0 143 1
0 162 1
0 202 1
0 221 1
0 315 1
0 357 1
0 513 1
0 516 1
0 518 1
0 523 1
0 589 1
0 627 1
0 718 1
0 957 1
1 140 1
1 164 1
1 196 1
1 305 1
1 374 1
1 386 1
1 459 1
1 697 1
1 763 1
1 836 1
1 966 1
2 247 1
2 360 1
2 499 1
2 603 1
2 692 1
2 706 1
2 724 1
2 728 1
3 24 1
3 68 1
3 264 1
3 278 1
3 375 1
3 394 1
3 512 1
3 641 1
3 682 1
3 726 1
3 777 1
3 834 1
3 985 1
4 6 1
4 220 1
4 388 1
4 522 1
4 538 1
4 695 1
5 86 1
5 311 1
5 390 1
5 508 1
5 620 1
5 718 1
5 781 1
6 591 1
6 871 1
7 75 1
7 153 1
7 400 1
7 501 1
7 537 1
7 590 1
7 686 1
7 817 1
7 932 1
7 935 1
7 940 1
8 39 1
8 56 1
8 174 1
8 272 1
8 378 1
8 606 1
8 651 1
9 87 1
9 103 1
9 329 1
9 358 1
9 481 1
9 733 1
9 810 1
10 24 1
10 71 1
10 99 1
10 103 1
10 333 1
10 358 1
10 359 1
10 516 1
11 210 1
11 574 1
11 587 1
11 655 1
11 705 1
11 895 1
11 934 1
12 19 1
12 88 1
12 136 1
12 138 1
12 353 1
12 418 1
12 561 1
12 676 1
12 861 1
12 862 1
12 866 1
12 978 1
13 216 1
13 262 1
13 358 1
13 364 1
13 559 1
13 577 1
13 632 1
13 638 1
13 650 1
13 903 1
13 987 1
13 992 1
14 56 1
14 264 1
14 278 1
14 314 1
14 401 1
14 456 1
14 508 1
14 709 1
14 729 1
14 754 1
14 815 1
14 850 1
15 149 1
15 190 1
15 426 1
15 581 1
15 712 1
15 823 1
15 841 1
15 911 1
15 982 1
16 77 1
16 90 1
16 163 1
16 403 1
16 525 1
16 643 1
16 740 1
16 769 1
17 54 1
17 88 1
17 229 1
17 545 1
17 683 1
17 765 1
18 50 1
18 193 1
18 268 1
18 282 1
18 293 1
18 427 1
18 430 1
18 465 1
18 533 1
18 632 1
18 761 1
18 798 1
18 879 1
18 938 1
19 145 1
19 201 1
19 250 1
19 286 1
19 312 1
19 349 1
19 581 1
19 596 1
19 654 1
19 821 1
19 966 1
19 986 1
20 129 1
20 157 1
20 358 1
20 474 1
20 537 1
20 547 1
20 591 1
20 789 1
20 834 1
20 912 1
21 114 1
21 183 1
21 235 1
21 301 1
21 332 1
21 580 1
21 672 1
21 733 1
21 773 1
22 65 1
22 246 1
22 249 1
22 395 1
22 407 1
22 434 1
22 449 1
22 483 1
22 804 1
22 881 1
23 59 1
23 122 1
23 285 1
23 364 1
23 379 1
23 414 1
23 529 1
23 536 1
23 587 1
23 595 1
23 822 1
24 68 1
24 185 1
24 193 1
24 243 1
24 256 1
24 276 1
24 322 1
24 416 1
24 507 1
24 597 1
24 697 1
24 764 1
24 907 1
24 920 1
25 205 1
25 249 1
25 288 1
25 366 1
25 423 1
25 637 1
25 662 1
25 880 1
25 886 1
25 921 1
25 941 1
26 105 1
26 181 1
26 343 1
26 385 1
26 572 1
26 603 1
26 650 1
26 864 1
26 961 1
26 967 1
27 163 1
27 247 1
27 285 1
27 429 1
27 483 1
27 662 1
27 831 1
27 866 1
28 189 1
28 217 1
28 374 1
28 400 1
28 406 1
28 516 1
28 540 1
28 599 1
28 729 1
28 802 1
28 856 1
28 895 1
28 904 1
29 58 1
29 164 1
29 234 1
29 499 1
29 618 1
29 632 1
29 682 1
29 685 1
29 710 1
29 813 1
29 880 1
29 900 1
30 107 1
30 232 1
30 284 1
30 380 1
30 514 1
30 584 1
30 767 1
30 786 1
30 853 1
30 888 1
30 970 1
31 97 1
31 236 1
31 437 1
31 739 1
31 775 1
31 825 1
32 351 1
32 440 1
32 484 1
32 540 1
32 560 1
32 650 1
32 698 1
32 699 1
32 765 1
32 781 1
32 872 1
33 119 1
33 143 1
33 172 1
33 556 1
33 588 1
33 705 1
33 718 1
33 788 1
33 889 1
33 950 1
33 986 1
34 256 1
34 404 1
34 795 1
34 865 1
34 879 1
35 219 1
35 325 1
35 373 1
35 653 1
35 772 1
35 890 1
36 347 1
36 387 1
36 396 1
36 409 1
36 463 1
36 471 1
36 480 1
36 559 1
36 862 1
36 909 1
36 962 1
37 210 1
37 401 1
37 444 1
37 547 1
37 615 1
37 773 1
37 795 1
37 829 1
37 882 1
38 158 1
38 189 1
38 208 1
38 210 1
38 280 1
38 295 1
38 345 1
38 401 1
38 404 1
38 778 1
38 797 1
38 862 1
38 877 1
38 896 1
38 915 1
38 979 1
38 989 1
38 993 1
39 54 1
39 221 1
39 301 1
39 361 1
39 396 1
39 422 1
39 517 1
39 519 1
39 520 1
39 566 1
39 596 1
39 664 1
39 812 1
39 863 1
39 985 1
40 65 1
40 75 1
40 78 1
40 158 1
40 163 1
40 348 1
40 460 1
40 575 1
40 778 1
40 902 1
40 989 1
41 228 1
41 233 1
41 359 1
41 375 1
41 421 1
41 424 1
41 425 1
41 426 1
41 561 1
41 611 1
41 918 1
42 166 1
42 238 1
42 308 1
42 488 1
42 506 1
42 649 1
42 809 1
42 990 1
43 66 1
43 166 1
43 232 1
43 367 1
43 465 1
43 574 1
43 602 1
43 698 1
43 699 1
43 734 1
43 798 1
43 821 1
43 882 1
43 938 1
43 985 1
43 986 1
44 216 1
44 246 1
44 262 1
44 475 1
44 554 1
44 588 1
44 606 1
44 781 1
44 919 1
44 956 1
45 48 1
45 94 1
45 142 1
45 188 1
45 197 1
45 212 1
45 318 1
45 368 1
45 408 1
45 452 1
45 475 1
45 681 1
45 708 1
45 803 1
45 858 1
46 139 1
46 149 1
46 510 1
46 732 1
46 771 1
46 843 1
46 955 1
46 975 1
47 48 1
47 75 1
47 118 1
47 191 1
47 247 1
47 345 1
47 515 1
47 524 1
47 985 1
48 86 1
48 107 1
48 263 1
48 313 1
48 330 1
48 494 1
48 620 1
48 625 1
48 742 1
48 775 1
48 967 1
49 233 1
49 509 1
49 602 1
49 661 1
49 726 1
49 735 1
50 113 1
50 244 1
50 356 1
50 377 1
50 412 1
50 623 1
50 680 1
50 700 1
50 757 1
50 809 1
50 812 1
50 967 1
51 104 1
51 316 1
51 457 1
51 470 1
51 639 1
51 718 1
51 722 1
51 779 1
51 787 1
51 819 1
51 846 1
51 852 1
51 938 1
51 948 1
51 985 1
52 103 1
52 207 1
52 593 1
52 637 1
52 859 1
52 862 1
52 925 1
52 937 1
53 227 1
53 519 1
53 619 1
53 941 1
54 115 1
54 417 1
54 426 1
54 427 1
54 429 1
54 694 1
54 727 1
54 758 1
54 879 1
54 950 1
55 76 1
55 91 1
55 339 1
55 344 1
55 646 1
55 732 1
56 92 1
56 225 1
56 405 1
56 452 1
56 571 1
56 591 1
56 696 1
56 722 1
56 863 1
57 193 1
57 207 1
57 370 1
57 422 1
57 748 1
57 757 1
57 952 1
57 974 1
57 994 1
58 77 1
58 106 1
58 189 1
58 238 1
58 396 1
58 444 1
58 451 1
58 771 1
58 785 1
58 787 1
58 851 1
58 883 1
59 100 1
59 139 1
59 181 1
59 259 1
59 381 1
59 472 1
59 474 1
59 492 1
59 523 1
59 561 1
59 644 1
59 716 1
59 789 1
59 822 1
60 105 1
60 216 1
60 854 1
60 931 1
60 956 1
60 964 1
61 209 1
61 225 1
61 485 1
61 712 1
61 809 1
61 900 1
61 965 1
62 77 1
62 142 1
62 285 1
62 411 1
62 493 1
62 518 1
62 609 1
62 642 1
62 708 1
62 749 1
62 924 1
63 281 1
63 553 1
63 653 1
63 699 1
63 711 1
63 758 1
63 923 1
64 428 1
64 456 1
64 462 1
64 493 1
64 515 1
64 859 1
64 937 1
64 973 1
65 157 1
65 171 1
65 262 1
65 317 1
65 332 1
65 457 1
65 612 1
65 671 1
65 768 1
66 81 1
66 90 1
66 100 1
66 227 1
66 300 1
66 362 1
66 487 1
66 575 1
66 758 1
66 798 1
66 827 1
66 847 1
67 68 1
67 241 1
67 426 1
67 427 1
67 439 1
67 523 1
67 598 1
67 845 1
67 881 1
67 883 1
67 927 1
67 959 1
67 993 1
68 109 1
68 280 1
68 288 1
68 297 1
68 305 1
68 355 1
68 446 1
68 628 1
68 900 1
69 244 1
69 313 1
69 354 1
69 361 1
69 429 1
69 777 1
69 780 1
69 798 1
69 854 1
70 108 1
70 261 1
70 273 1
70 297 1
70 417 1
70 654 1
70 663 1
70 679 1
70 811 1
70 913 1
70 951 1
71 138 1
71 525 1
71 618 1
71 678 1
71 738 1
71 798 1
71 915 1
71 921 1
71 960 1
72 89 1
72 157 1
72 241 1
72 277 1
72 330 1
72 346 1
72 423 1
72 544 1
72 587 1
72 879 1
72 941 1
72 962 1
72 968 1
73 228 1
73 233 1
73 258 1
73 461 1
73 530 1
73 718 1
73 822 1
73 912 1
74 285 1
74 452 1
74 470 1
74 528 1
74 553 1
74 706 1
74 734 1
74 922 1
74 924 1
75 137 1
75 202 1
75 404 1
75 467 1
75 535 1
75 562 1
75 658 1
75 711 1
75 865 1
75 985 1
76 197 1
76 199 1
76 204 1
76 319 1
76 390 1
76 422 1
76 575 1
76 618 1
76 926 1
77 97 1
77 159 1
77 316 1
77 422 1
77 460 1
77 569 1
77 574 1
77 586 1
77 747 1
77 910 1
78 159 1
78 223 1
78 347 1
78 488 1
78 513 1
78 555 1
78 616 1
78 717 1
78 824 1
78 883 1
78 960 1
79 279 1
79 290 1
79 354 1
79 636 1
79 744 1
79 926 1
80 142 1
80 169 1
80 222 1
80 313 1
80 615 1
80 673 1
80 715 1
81 140 1
81 318 1
81 439 1
81 534 1
81 724 1
81 820 1
81 879 1
82 145 1
82 160 1
82 249 1
82 324 1
82 433 1
82 667 1
82 717 1
82 762 1
82 796 1
82 891 1
82 894 1
82 969 1
83 230 1
83 394 1
83 447 1
83 515 1
83 751 1
83 831 1
83 954 1
83 979 1
84 219 1
84 501 1
84 686 1
84 853 1
84 856 1
85 200 1
85 281 1
85 371 1
85 474 1
85 482 1
85 576 1
85 675 1
85 694 1
85 707 1
85 726 1
85 755 1
85 799 1
85 957 1
86 97 1
86 223 1
86 422 1
86 485 1
86 626 1
86 690 1
86 754 1
86 933 1
87 596 1
87 666 1
87 852 1
87 928 1
87 992 1
88 182 1
88 291 1
88 371 1
88 450 1
88 524 1
88 719 1
88 880 1
88 905 1
