1000 25264
0 11 1
0 24 1
0 65 1
0 99 1
0 114 1
0 126 1
0 132 1
0 136 1
0 150 1
0 161 1
0 173 1
0 194 1
0 205 1
0 230 1
0 246 1
0 249 1
0 258 1
0 284 1
0 318 1
0 342 1
0 351 1
0 356 1
0 390 1
0 434 1
0 435 1
0 446 1
0 453 1
0 455 1
0 477 1
0 479 1
0 481 1
0 502 1
0 505 1
0 515 1
0 567 1
0 573 1
0 576 1
0 604 1
0 629 1
0 634 1
0 643 1
0 725 1
0 728 1
0 738 1
0 742 1
0 758 1
0 768 1
0 819 1
0 840 1
0 872 1
0 924 1
0 943 1
0 944 1
0 966 1
0 980 1
1 9 1
1 28 1
1 31 1
1 51 1
1 81 1
1 88 1
1 103 1
1 117 1
1 121 1
1 138 1
1 141 1
1 144 1
1 184 1
1 208 1
1 245 1
1 292 1
1 323 1
1 324 1
1 350 1
1 360 1
1 363 1
1 367 1
1 370 1
1 380 1
1 396 1
1 411 1
1 449 1
1 462 1
1 469 1
1 480 1
1 484 1
1 492 1
1 505 1
1 542 1
1 558 1
1 608 1
1 626 1
1 663 1
1 747 1
1 754 1
1 760 1
1 778 1
1 788 1
1 807 1
1 822 1
1 823 1
1 849 1
1 869 1
1 880 1
1 893 1
1 931 1
1 966 1
1 971 1
1 995 1
2 20 1
2 35 1
2 38 1
2 39 1
2 43 1
2 57 1
2 123 1
2 136 1
2 137 1
2 165 1
2 188 1
2 238 1
2 250 1
2 256 1
2 264 1
2 291 1
2 322 1
2 329 1
2 336 1
2 337 1
2 355 1
2 364 1
2 423 1
2 430 1
2 444 1
2 451 1
2 454 1
2 468 1
2 487 1
2 506 1
2 525 1
2 549 1
2 602 1
2 632 1
2 634 1
2 640 1
2 681 1
2 699 1
2 720 1
2 732 1
2 754 1
2 784 1
2 806 1
2 830 1
2 838 1
2 847 1
2 912 1
2 935 1
2 949 1
2 950 1
2 964 1
3 61 1
3 67 1
3 143 1
3 144 1
3 159 1
3 165 1
3 193 1
3 228 1
3 229 1
3 233 1
3 237 1
3 331 1
3 338 1
3 366 1
3 375 1
3 381 1
3 398 1
3 399 1
3 422 1
3 487 1
3 498 1
3 518 1
3 545 1
3 592 1
3 595 1
3 619 1
3 635 1
3 637 1
3 644 1
3 691 1
3 697 1
3 708 1
3 720 1
3 732 1
3 748 1
3 750 1
3 754 1
3 769 1
3 770 1
3 799 1
3 814 1
3 827 1
3 835 1
3 839 1
3 846 1
3 900 1
3 907 1
3 918 1
3 985 1
3 989 1
3 991 1
3 993 1
4 12 1
4 31 1
4 72 1
4 130 1
4 132 1
4 138 1
4 149 1
4 160 1
4 171 1
4 176 1
4 180 1
4 205 1
4 214 1
4 217 1
4 221 1
4 248 1
4 262 1
4 267 1
4 286 1
4 308 1
4 316 1
4 317 1
4 325 1
4 336 1
4 341 1
4 362 1
