1000 24793
0 33 1
0 52 1
0 58 1
0 64 1
0 88 1
0 122 1
0 134 1
0 139 1
0 159 1
0 160 1
0 170 1
0 172 1
0 221 1
0 224 1
0 238 1
0 242 1
0 246 1
0 250 1
0 251 1
0 276 1
0 285 1
0 339 1
0 349 1
0 352 1
0 374 1
0 376 1
0 382 1
0 387 1
0 400 1
0 415 1
0 443 1
0 444 1
0 471 1
0 523 1
0 541 1
0 553 1
0 563 1
0 573 1
0 584 1
0 614 1
0 659 1
0 718 1
0 747 1
0 802 1
0 832 1
0 852 1
0 867 1
0 877 1
0 890 1
0 899 1
0 926 1
0 928 1
0 936 1
0 952 1
0 959 1
0 968 1
0 981 1
1 36 1
1 40 1
1 116 1
1 170 1
1 210 1
1 220 1
1 232 1
1 299 1
1 315 1
1 336 1
1 365 1
1 380 1
1 388 1
1 389 1
1 393 1
1 397 1
1 424 1
1 427 1
1 436 1
1 456 1
1 457 1
1 511 1
1 584 1
1 587 1
1 612 1
1 616 1
1 626 1
1 631 1
1 648 1
1 691 1
1 701 1
1 709 1
1 748 1
1 752 1
1 756 1
1 828 1
1 888 1
1 915 1
1 921 1
1 950 1
1 958 1
1 962 1
1 963 1
1 990 1
2 6 1
2 24 1
2 71 1
2 85 1
2 93 1
2 106 1
2 161 1
2 205 1
2 307 1
2 319 1
2 328 1
2 337 1
2 350 1
2 357 1
2 366 1
2 438 1
2 440 1
2 444 1
2 451 1
2 492 1
2 501 1
2 507 1
2 508 1
2 510 1
2 549 1
2 551 1
2 555 1
2 564 1
2 590 1
2 642 1
2 673 1
2 683 1
2 694 1
2 700 1
2 736 1
2 757 1
2 788 1
2 801 1
2 808 1
2 817 1
2 863 1
2 881 1
2 887 1
2 888 1
2 891 1
2 929 1
2 936 1
2 938 1
2 948 1
2 990 1
2 998 1
3 23 1
3 48 1
3 82 1
3 86 1
3 100 1
3 121 1
3 127 1
3 172 1
3 205 1
3 207 1
3 233 1
3 239 1
3 243 1
3 284 1
3 285 1
3 286 1
3 312 1
3 313 1
3 362 1
3 377 1
3 387 1
3 391 1
3 398 1
3 411 1
3 421 1
3 435 1
3 465 1
3 471 1
3 504 1
3 526 1
3 539 1
3 564 1
3 574 1
3 585 1
3 620 1
3 676 1
3 699 1
3 715 1
3 719 1
3 720 1
3 749 1
3 784 1
3 788 1
3 801 1
3 805 1
3 825 1
3 838 1
3 852 1
3 896 1
3 936 1
3 952 1
3 972 1
3 977 1
3 979 1
4 6 1
4 27 1
4 39 1
4 64 1
4 85 1
4 131 1
4 145 1
4 188 1
4 191 1
4 195 1
4 207 1
4 219 1
4 262 1
4 265 1
4 272 1
4 297 1
4 308 1
4 310 1
4 318 1
4 377 1
4 415 1
4 461 1
4 496 1
4 526 1
4 546 1
4 549 1
4 557 1
4 586 1
4 591 1
4 611 1
4 646 1
4 654 1
4 670 1
4 695 1
4 699 1
4 719 1
4 734 1
4 760 1
4 781 1
4 793 1
4 796 1
4 838 1
4 851 1
4 853 1
4 872 1
4 980 1
5 8 1
5 22 1
5 36 1
5 84 1
5 85 1
5 107 1
5 115 1
5 189 1
5 195 1
5 217 1
5 297 1
5 307 1
5 334 1
5 425 1
5 437 1
5 443 1
5 488 1
5 489 1
5 496 1
5 519 1
5 533 1
5 552 1
5 561 1
5 564 1
5 578 1
5 585 1
5 587 1
5 601 1
5 627 1
5 634 1
5 649 1
5 650 1
5 659 1
5 662 1
5 673 1
5 685 1
5 692 1
5 754 1
5 757 1
5 775 1
5 806 1
5 827 1
5 845 1
5 909 1
5 927 1
5 968 1
5 982 1
5 983 1
5 990 1
6 69 1
6 107 1
6 117 1
6 142 1
6 191 1
6 268 1
6 269 1
6 281 1
6 292 1
6 307 1
6 308 1
6 309 1
6 324 1
6 341 1
6 366 1
6 376 1
6 378 1
6 406 1
6 409 1
6 432 1
6 456 1
6 465 1
6 468 1
6 482 1
6 518 1
6 527 1
6 546 1
6 578 1
6 589 1
6 604 1
6 614 1
6 615 1
6 619 1
6 628 1
6 649 1
6 655 1
6 656 1
6 665 1
6 675 1
6 701 1
6 735 1
6 751 1
6 776 1
6 777 1
6 829 1
6 863 1
6 864 1
6 874 1
6 875 1
6 914 1
6 917 1
6 937 1
6 947 1
6 953 1
6 963 1
6 964 1
6 989 1
6 999 1
7 8 1
7 17 1
7 33 1
7 45 1
7 62 1
7 66 1
7 77 1
7 88 1
7 91 1
7 105 1
7 121 1
7 129 1
7 136 1
7 137 1
7 145 1
7 148 1
7 156 1
7 157 1
7 220 1
7 229 1
7 239 1
7 241 1
7 279 1
7 344 1
7 369 1
7 412 1
7 419 1
7 453 1
7 496 1
7 498 1
7 506 1
7 518 1
7 539 1
7 579 1
7 584 1
7 656 1
7 668 1
7 687 1
7 718 1
7 778 1
7 782 1
7 788 1
7 823 1
7 867 1
7 913 1
7 921 1
7 941 1
7 942 1
7 950 1
7 954 1
7 963 1
7 975 1
7 976 1
7 988 1
7 999 1
8 17 1
8 19 1
8 36 1
8 42 1
8 96 1
8 142 1
8 144 1
8 160 1
8 163 1
8 174 1
8 175 1
8 183 1
8 217 1
8 245 1
8 257 1
8 264 1
8 269 1
8 276 1
8 278 1
8 279 1
8 289 1
8 298 1
8 340 1
8 341 1
8 367 1
8 409 1
8 421 1
8 426 1
8 466 1
8 497 1
8 537 1
8 553 1
8 582 1
8 592 1
8 604 1
8 632 1
8 643 1
8 655 1
8 677 1
8 680 1
8 701 1
8 702 1
8 714 1
8 731 1
8 735 1
8 781 1
8 799 1
8 819 1
8 821 1
8 825 1
8 842 1
8 846 1
8 862 1
8 920 1
8 926 1
8 931 1
8 935 1
8 967 1
8 990 1
9 19 1
9 50 1
9 66 1
9 74 1
9 76 1
9 83 1
9 124 1
9 164 1
9 173 1
9 192 1
9 219 1
9 234 1
9 267 1
9 276 1
9 278 1
9 309 1
9 319 1
9 331 1
9 404 1
9 445 1
9 510 1
9 548 1
9 550 1
9 554 1
9 558 1
9 573 1
9 610 1
9 620 1
9 651 1
9 657 1
9 664 1
9 696 1
9 760 1
9 803 1
9 806 1
9 814 1
9 827 1
9 852 1
9 853 1
9 884 1
9 916 1
9 947 1
9 976 1
10 24 1
10 33 1
10 60 1
10 103 1
10 114 1
10 136 1
10 181 1
10 189 1
10 190 1
10 231 1
10 244 1
10 261 1
10 264 1
10 293 1
10 309 1
10 344 1
10 354 1
10 368 1
10 403 1
10 449 1
10 472 1
10 511 1
10 514 1
10 517 1
10 521 1
10 528 1
10 536 1
10 579 1
10 643 1
10 654 1
10 687 1
10 694 1
10 732 1
10 755 1
10 758 1
10 771 1
10 772 1
10 773 1
10 800 1
10 858 1
10 896 1
10 905 1
10 956 1
10 968 1
10 974 1
10 991 1
11 55 1
11 65 1
11 69 1
11 86 1
11 118 1
11 147 1
11 151 1
11 174 1
11 220 1
11 247 1
11 278 1
11 282 1
11 354 1
11 374 1
11 394 1
11 432 1
11 444 1
11 450 1
11 453 1
11 483 1
11 506 1
11 515 1
11 532 1
11 609 1
11 611 1
11 627 1
11 680 1
11 692 1
11 713 1
11 718 1
11 720 1
11 728 1
11 731 1
11 743 1
11 762 1
11 772 1
11 826 1
11 871 1
11 914 1
11 939 1
11 966 1
11 974 1
12 14 1
12 33 1
12 34 1
12 36 1
12 56 1
12 57 1
12 107 1
12 121 1
12 145 1
12 179 1
12 184 1
12 273 1
12 274 1
12 288 1
12 290 1
12 318 1
12 326 1
12 329 1
12 351 1
12 358 1
12 363 1
12 415 1
12 426 1
12 441 1
12 456 1
12 483 1
12 498 1
12 501 1
12 505 1
12 557 1
12 651 1
12 669 1
12 675 1
12 688 1
12 698 1
12 721 1
12 747 1
12 799 1
12 800 1
12 811 1
12 854 1
12 863 1
12 924 1
12 941 1
12 949 1
12 971 1
12 976 1
13 23 1
13 31 1
13 42 1
13 51 1
13 64 1
13 67 1
13 117 1
13 140 1
13 185 1
13 202 1
13 232 1
13 235 1
13 263 1
13 264 1
13 284 1
13 312 1
13 321 1
13 352 1
13 362 1
13 369 1
13 408 1
13 413 1
13 444 1
13 462 1
13 465 1
13 484 1
13 544 1
13 629 1
13 654 1
13 673 1
13 679 1
13 683 1
13 694 1
13 705 1
13 789 1
13 792 1
13 805 1
13 843 1
13 882 1
13 915 1
13 920 1
13 951 1
14 60 1
14 84 1
14 89 1
14 170 1
14 171 1
14 172 1
14 173 1
14 179 1
14 186 1
14 222 1
14 233 1
14 249 1
14 265 1
14 287 1
14 311 1
14 369 1
14 375 1
14 379 1
14 390 1
14 460 1
14 480 1
14 489 1
14 498 1
14 501 1
14 513 1
14 517 1
14 542 1
14 559 1
14 609 1
14 611 1
14 636 1
14 640 1
14 650 1
14 661 1
14 682 1
14 698 1
14 741 1
14 782 1
14 785 1
14 807 1
14 819 1
14 839 1
14 845 1
14 892 1
14 895 1
14 899 1
14 915 1
14 917 1
14 928 1
14 979 1
15 22 1
15 56 1
15 64 1
15 74 1
15 106 1
15 111 1
15 124 1
15 166 1
15 194 1
15 198 1
15 258 1
15 262 1
15 270 1
15 275 1
15 311 1
15 335 1
15 368 1
15 413 1
15 480 1
15 487 1
15 494 1
15 497 1
15 504 1
15 510 1
15 520 1
15 528 1
15 547 1
15 548 1
15 569 1
15 577 1
15 580 1
15 610 1
15 621 1
15 653 1
15 659 1
15 664 1
15 670 1
15 681 1
15 720 1
15 743 1
15 776 1
15 794 1
15 818 1
15 829 1
15 841 1
15 843 1
15 872 1
15 875 1
15 895 1
15 946 1
15 948 1
15 970 1
15 980 1
15 985 1
16 27 1
16 32 1
16 42 1
16 62 1
16 93 1
16 100 1
16 131 1
16 182 1
16 202 1
16 209 1
16 229 1
16 233 1
16 253 1
16 271 1
16 290 1
16 303 1
16 305 1
16 309 1
16 310 1
16 312 1
16 342 1
16 353 1
16 359 1
16 366 1
16 390 1
16 393 1
16 419 1
16 449 1
16 451 1
16 454 1
16 461 1
16 505 1
16 507 1
16 513 1
16 546 1
16 547 1
16 552 1
16 569 1
16 646 1
16 653 1
16 691 1
16 711 1
16 714 1
16 719 1
16 749 1
16 773 1
16 776 1
16 805 1
16 815 1
16 892 1
16 918 1
16 922 1
16 964 1
16 977 1
16 997 1
17 18 1
17 22 1
17 54 1
17 92 1
17 101 1
17 112 1
17 117 1
17 128 1
17 147 1
17 184 1
17 252 1
17 296 1
17 307 1
17 311 1
17 331 1
17 343 1
17 346 1
17 359 1
17 371 1
17 381 1
17 382 1
17 408 1
17 471 1
17 506 1
17 555 1
17 556 1
17 562 1
17 579 1
17 595 1
17 606 1
17 631 1
17 643 1
17 656 1
17 666 1
17 673 1
17 693 1
17 706 1
17 725 1
17 741 1
17 742 1
17 755 1
17 759 1
17 769 1
17 778 1
17 838 1
17 845 1
17 883 1
17 890 1
17 925 1
17 945 1
17 954 1
17 974 1
18 29 1
18 61 1
18 92 1
18 119 1
18 143 1
18 151 1
18 158 1
18 182 1
18 192 1
18 227 1
18 234 1
18 253 1
18 255 1
18 270 1
18 284 1
18 286 1
18 303 1
18 323 1
18 368 1
18 369 1
18 376 1
18 397 1
18 399 1
18 430 1
18 463 1
18 507 1
18 541 1
18 549 1
18 553 1
18 576 1
18 592 1
18 603 1
18 612 1
18 620 1
18 630 1
18 638 1
18 666 1
18 688 1
18 691 1
18 704 1
18 720 1
18 767 1
18 865 1
18 866 1
18 906 1
18 931 1
18 939 1
18 976 1
19 53 1
19 64 1
19 115 1
19 123 1
19 128 1
19 166 1
19 191 1
19 201 1
19 218 1
19 237 1
19 250 1
19 277 1
19 292 1
19 308 1
19 329 1
19 336 1
19 354 1
19 375 1
19 406 1
19 407 1
19 425 1
19 447 1
19 464 1
19 504 1
19 516 1
19 518 1
19 526 1
19 532 1
19 534 1
19 566 1
19 592 1
19 604 1
19 642 1
19 660 1
19 674 1
19 704 1
19 709 1
19 719 1
19 736 1
19 749 1
19 751 1
19 753 1
19 775 1
19 781 1
19 790 1
19 796 1
19 805 1
19 807 1
19 809 1
