300 4471
0 17 1
0 18 1
0 57 1
0 61 1
0 77 1
0 85 1
0 91 1
0 95 1
0 100 1
0 107 1
0 108 1
0 115 1
0 132 1
0 140 1
0 145 1
0 149 1
0 172 1
0 176 1
0 177 1
0 212 1
0 219 1
0 251 1
0 289 1
0 291 1
0 298 1
1 7 1
1 11 1
1 62 1
1 63 1
1 65 1
1 78 1
1 79 1
1 82 1
1 115 1
1 119 1
1 140 1
1 147 1
1 172 1
1 180 1
1 190 1
1 221 1
1 224 1
1 237 1
1 240 1
1 241 1
1 248 1
1 256 1
1 262 1
1 267 1
1 280 1
1 291 1
1 292 1
1 294 1
2 12 1
2 14 1
2 17 1
2 29 1
2 34 1
2 92 1
2 94 1
2 98 1
2 109 1
2 118 1
2 120 1
2 121 1
2 126 1
2 129 1
2 131 1
2 163 1
2 184 1
2 185 1
2 211 1
2 215 1
2 228 1
2 236 1
2 257 1
2 265 1
2 270 1
2 277 1
2 288 1
2 294 1
2 295 1
3 4 1
3 15 1
3 16 1
3 22 1
3 34 1
3 81 1
3 84 1
3 93 1
3 97 1
3 101 1
3 136 1
3 142 1
3 148 1
3 170 1
3 171 1
3 175 1
3 178 1
3 182 1
3 199 1
3 200 1
3 222 1
3 223 1
3 227 1
3 231 1
3 239 1
3 243 1
3 258 1
3 281 1
3 291 1
3 294 1
4 6 1
4 14 1
4 21 1
4 26 1
4 30 1
4 31 1
4 60 1
4 61 1
4 73 1
4 74 1
4 83 1
4 84 1
4 87 1
4 100 1
4 109 1
4 121 1
4 125 1
4 131 1
4 143 1
4 149 1
4 164 1
4 165 1
4 187 1
4 203 1
4 212 1
4 221 1
4 224 1
4 231 1
4 239 1
4 254 1
4 258 1
4 259 1
4 291 1
4 295 1
4 296 1
5 13 1
5 29 1
5 45 1
5 47 1
5 53 1
5 72 1
5 100 1
5 109 1
5 132 1
5 144 1
5 145 1
5 152 1
5 173 1
5 198 1
5 201 1
5 202 1
5 207 1
5 211 1
5 214 1
5 222 1
5 231 1
5 234 1
5 243 1
5 266 1
5 284 1
5 287 1
5 294 1
6 12 1
6 14 1
6 18 1
6 22 1
6 23 1
6 25 1
6 38 1
6 42 1
6 46 1
6 50 1
6 64 1
6 68 1
6 72 1
6 73 1
6 79 1
6 91 1
6 97 1
6 119 1
6 122 1
6 128 1
6 150 1
6 164 1
6 174 1
6 188 1
6 194 1
6 207 1
6 220 1
6 243 1
6 246 1
6 251 1
6 259 1
6 274 1
6 278 1
6 279 1
6 286 1
6 287 1
6 288 1
6 296 1
6 298 1
7 12 1
7 15 1
7 20 1
7 34 1
7 35 1
7 57 1
7 87 1
7 102 1
7 108 1
7 124 1
7 151 1
7 178 1
7 201 1
7 202 1
7 206 1
7 208 1
7 210 1
7 211 1
7 213 1
7 225 1
7 236 1
7 240 1
7 249 1
7 250 1
7 256 1
7 263 1
7 273 1
7 290 1
7 291 1
7 298 1
8 11 1
8 18 1
8 31 1
8 53 1
8 66 1
8 99 1
8 107 1
8 134 1
8 144 1
8 166 1
8 178 1
8 181 1
8 185 1
8 188 1
8 193 1
8 202 1
8 210 1
8 211 1
8 227 1
8 228 1
8 253 1
8 261 1
8 283 1
8 299 1
9 26 1
9 31 1
9 38 1
9 66 1
9 74 1
9 75 1
9 98 1
9 119 1
9 121 1
9 129 1
9 148 1
9 158 1
9 168 1
9 182 1
9 211 1
9 223 1
9 238 1
9 239 1
9 244 1
9 251 1
9 273 1
9 275 1
9 283 1
9 288 1
10 15 1
10 42 1
10 58 1
10 63 1
10 77 1
10 82 1
10 84 1
10 97 1
10 98 1
10 151 1
10 158 1
10 166 1
10 180 1
10 183 1
10 185 1
10 187 1
10 190 1
10 209 1
10 226 1
10 237 1
10 245 1
10 253 1
10 281 1
10 283 1
11 15 1
11 23 1
11 50 1
11 57 1
11 59 1
11 61 1
11 68 1
11 74 1
11 85 1
11 89 1
11 124 1
11 147 1
11 153 1
11 156 1
11 158 1
11 167 1
11 178 1
11 207 1
11 213 1
11 228 1
11 235 1
11 240 1
11 247 1
11 251 1
11 255 1
11 271 1
11 275 1
11 286 1
11 292 1
11 295 1
12 19 1
12 22 1
12 29 1
12 34 1
12 87 1
12 93 1
12 102 1
12 104 1
12 109 1
12 114 1
12 120 1
12 136 1
12 140 1
12 172 1
12 188 1
12 202 1
12 209 1
12 215 1
12 243 1
12 250 1
12 252 1
12 254 1
12 260 1
12 267 1
12 275 1
12 287 1
12 291 1
13 29 1
13 38 1
13 71 1
13 76 1
13 85 1
13 93 1
13 96 1
13 97 1
13 106 1
13 119 1
13 126 1
13 129 1
13 144 1
13 154 1
13 158 1
13 162 1
13 164 1
13 178 1
13 197 1
13 212 1
13 223 1
13 236 1
13 240 1
13 244 1
13 252 1
13 256 1
13 275 1
13 279 1
13 280 1
13 282 1
13 287 1
13 293 1
14 16 1
14 18 1
14 35 1
14 36 1
14 37 1
14 45 1
14 50 1
14 67 1
14 70 1
14 79 1
14 82 1
14 104 1
14 114 1
14 125 1
14 147 1
14 151 1
14 153 1
14 155 1
14 157 1
14 170 1
14 177 1
14 182 1
14 200 1
14 219 1
14 220 1
14 227 1
14 237 1
14 254 1
14 257 1
14 260 1
14 262 1
14 278 1
14 281 1
14 285 1
14 289 1
14 295 1
15 17 1
15 27 1
15 32 1
15 54 1
15 78 1
15 86 1
15 95 1
15 98 1
15 99 1
15 101 1
15 108 1
15 111 1
15 122 1
15 124 1
15 129 1
15 133 1
15 135 1
15 143 1
15 160 1
15 162 1
15 163 1
15 180 1
15 187 1
15 189 1
15 191 1
15 192 1
15 198 1
15 205 1
15 225 1
15 236 1
15 238 1
15 240 1
15 255 1
15 258 1
15 267 1
15 280 1
16 17 1
16 31 1
16 32 1
16 37 1
16 38 1
16 42 1
16 46 1
16 64 1
16 94 1
16 101 1
16 115 1
16 119 1
16 135 1
16 137 1
16 153 1
16 158 1
16 164 1
16 178 1
16 180 1
16 181 1
16 210 1
16 213 1
16 236 1
16 240 1
16 261 1
16 272 1
17 22 1
17 24 1
17 27 1
17 28 1
17 46 1
17 56 1
17 70 1
17 73 1
17 84 1
17 87 1
17 96 1
17 104 1
17 121 1
17 127 1
17 131 1
17 136 1
17 141 1
17 147 1
17 159 1
17 167 1
17 179 1
17 193 1
17 201 1
17 203 1
17 207 1
17 208 1
17 211 1
17 215 1
17 227 1
17 231 1
17 236 1
17 237 1
17 247 1
17 262 1
17 266 1
17 267 1
17 295 1
17 296 1
18 41 1
18 50 1
18 53 1
18 57 1
18 59 1
18 60 1
18 71 1
18 92 1
18 105 1
18 113 1
18 117 1
18 124 1
18 152 1
18 184 1
18 192 1
18 208 1
18 211 1
18 217 1
18 224 1
18 257 1
18 282 1
19 72 1
19 79 1
19 80 1
19 83 1
19 88 1
19 89 1
19 94 1
19 104 1
